      year,  location,    lowest,   2nd_low,    median,  2nd_high,   highest,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
  0.61,E06000001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  1.00,E06000001,    0.028,    0.028,    0.028,    0.061,    0.084,    0.028,    0.033,    0.028,    0.056,    0.061,    0.056,    0.028,    0.028,    0.028,    0.028,    0.056,    0.084,    0.056,    0.028,    0.028
  1.25,E06000001,    0.084,    0.140,    0.167,    0.262,    0.267,    0.167,    0.151,    0.140,    0.178,    0.206,    0.267,    0.184,    0.151,    0.140,    0.167,    0.240,    0.167,    0.262,    0.229,    0.084
  1.50,E06000001,    0.084,    0.178,    0.256,    0.384,    0.523,    0.256,    0.178,    0.195,    0.206,    0.323,    0.384,    0.267,    0.334,    0.195,    0.256,    0.378,    0.251,    0.523,    0.367,    0.084
  1.75,E06000001,    0.140,    0.251,    0.356,    0.623,    0.834,    0.378,    0.351,    0.284,    0.412,    0.356,    0.567,    0.329,    0.456,    0.256,    0.256,    0.623,    0.251,    0.834,    0.490,    0.140
  2.00,E06000001,    0.140,    0.284,    0.407,    0.707,    1.002,    0.407,    0.407,    0.312,    0.445,    0.412,    0.596,    0.329,    0.512,    0.284,    0.312,    0.707,    0.284,    1.002,    0.579,    0.140
  2.25,E06000001,    0.173,    0.312,    0.529,    0.768,    1.230,    0.596,    0.440,    0.345,    0.529,    0.534,    0.629,    0.395,    0.696,    0.312,    0.440,    0.740,    0.323,    1.230,    0.768,    0.173
  2.50,E06000001,    0.395,    0.440,    0.707,    1.018,    1.491,    0.756,    0.501,    0.440,    0.718,    0.707,    0.779,    0.462,    0.979,    0.529,    0.545,    1.018,    0.540,    1.491,    0.968,    0.395
  2.75,E06000001,    0.612,    0.645,    0.874,    1.307,    1.646,    0.962,    0.645,    0.678,    0.874,    1.012,    0.918,    0.689,    1.307,    0.667,    0.818,    1.196,    0.700,    1.646,    1.112,    0.612
  3.00,E06000001,    0.751,    0.784,    1.218,    1.746,    2.063,    1.312,    0.890,    0.818,    1.034,    1.541,    1.245,    1.007,    1.624,    0.751,    1.218,    1.641,    0.962,    2.063,    1.746,    0.784
  3.25,E06000001,    0.990,    1.196,    1.519,    2.213,    2.430,    1.729,    1.334,    1.312,    1.519,    1.836,    1.601,    1.196,    2.030,    1.301,    1.451,    2.052,    1.212,    2.430,    2.213,    0.990
  3.50,E06000001,    1.174,    1.434,    1.885,    2.814,    2.836,    2.096,    1.552,    1.596,    1.880,    2.230,    1.957,    1.434,    2.380,    1.785,    1.885,    2.674,    1.518,    2.836,    2.814,    1.174
  3.75,E06000001,    1.424,    1.679,    2.181,    3.274,    3.341,    2.441,    1.902,    1.936,    2.181,    2.630,    2.352,    1.713,    2.730,    2.163,    2.018,    3.274,    1.679,    3.208,    3.341,    1.424
  4.00,E06000001,    1.936,    1.941,    2.652,    3.792,    3.814,    2.652,    2.185,    2.436,    2.652,    3.019,    2.541,    1.936,    3.075,    2.708,    2.514,    3.792,    2.263,    3.563,    3.814,    1.941
  0.61,E06000004,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  1.00,E06000004,    0.027,    0.027,    0.040,    0.061,    0.081,    0.040,    0.047,    0.040,    0.058,    0.061,    0.058,    0.030,    0.040,    0.027,    0.027,    0.054,    0.081,    0.058,    0.027,    0.027
  1.25,E06000004,    0.081,    0.129,    0.192,    0.273,    0.296,    0.179,    0.195,    0.152,    0.192,    0.239,    0.296,    0.221,    0.175,    0.129,    0.183,    0.249,    0.179,    0.273,    0.213,    0.081
  1.50,E06000004,    0.094,    0.196,    0.336,    0.414,    0.539,    0.310,    0.226,    0.236,    0.232,    0.392,    0.414,    0.336,    0.386,    0.196,    0.341,    0.408,    0.287,    0.539,    0.368,    0.094
  1.75,E06000004,    0.152,    0.287,    0.442,    0.670,    0.837,    0.451,    0.432,    0.371,    0.458,    0.442,    0.612,    0.397,    0.510,    0.308,    0.358,    0.670,    0.287,    0.837,    0.506,    0.152
  2.00,E06000004,    0.152,    0.320,    0.489,    0.724,    0.980,    0.479,    0.489,    0.399,    0.491,    0.499,    0.639,    0.397,    0.568,    0.334,    0.412,    0.724,    0.320,    0.980,    0.594,    0.152
  2.25,E06000004,    0.206,    0.366,    0.559,    0.785,    1.177,    0.613,    0.523,    0.432,    0.559,    0.620,    0.686,    0.463,    0.713,    0.366,    0.525,    0.761,    0.373,    1.177,    0.785,    0.206
  2.50,E06000004,    0.451,    0.524,    0.747,    1.012,    1.437,    0.817,    0.597,    0.525,    0.747,    0.773,    0.817,    0.524,    0.991,    0.583,    0.632,    1.012,    0.565,    1.437,    1.009,    0.451
  2.75,E06000004,    0.652,    0.693,    0.891,    1.308,    1.602,    1.013,    0.708,    0.708,    0.891,    1.055,    0.903,    0.693,    1.308,    0.750,    0.854,    1.182,    0.712,    1.602,    1.155,    0.652
  3.00,E06000004,    0.828,    0.847,    1.217,    1.777,    2.020,    1.341,    0.957,    0.847,    1.047,    1.535,    1.237,    0.978,    1.613,    0.828,    1.217,    1.627,    0.980,    2.020,    1.777,    0.865
  3.25,E06000004,    1.061,    1.155,    1.498,    2.234,    2.377,    1.749,    1.378,    1.311,    1.498,    1.804,    1.602,    1.155,    2.039,    1.376,    1.450,    2.071,    1.232,    2.377,    2.234,    1.061
  3.50,E06000004,    1.262,    1.371,    1.887,    2.803,    2.810,    2.079,    1.579,    1.596,    1.870,    2.242,    1.929,    1.371,    2.370,    1.851,    1.887,    2.644,    1.527,    2.803,    2.810,    1.262
  3.75,E06000004,    1.504,    1.649,    2.206,    3.260,    3.338,    2.452,    1.934,    1.887,    2.172,    2.600,    2.367,    1.649,    2.711,    2.206,    2.006,    3.260,    1.674,    3.176,    3.338,    1.504
  4.00,E06000004,    1.860,    1.988,    2.640,    3.787,    3.792,    2.640,    2.188,    2.406,    2.715,    2.971,    2.527,    1.860,    3.075,    2.819,    2.531,    3.792,    2.272,    3.533,    3.787,    1.988
  0.61,E06000002,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  1.00,E06000002,    0.033,    0.033,    0.048,    0.064,    0.094,    0.048,    0.048,    0.048,    0.064,    0.064,    0.064,    0.033,    0.048,    0.033,    0.033,    0.064,    0.094,    0.064,    0.033,    0.033
  1.25,E06000002,    0.097,    0.146,    0.212,    0.303,    0.319,    0.212,    0.212,    0.179,    0.212,    0.260,    0.319,    0.242,    0.194,    0.146,    0.209,    0.273,    0.206,    0.303,    0.243,    0.097
  1.50,E06000002,    0.112,    0.224,    0.370,    0.446,    0.589,    0.354,    0.245,    0.275,    0.260,    0.421,    0.443,    0.370,    0.418,    0.224,    0.379,    0.446,    0.331,    0.589,    0.413,    0.112
  1.75,E06000002,    0.176,    0.331,    0.473,    0.713,    0.898,    0.500,    0.473,    0.418,    0.504,    0.467,    0.649,    0.433,    0.549,    0.334,    0.394,    0.713,    0.331,    0.898,    0.556,    0.176
  2.00,E06000002,    0.176,    0.364,    0.533,    0.777,    1.057,    0.533,    0.533,    0.452,    0.534,    0.533,    0.683,    0.433,    0.616,    0.367,    0.458,    0.777,    0.364,    1.057,    0.653,    0.176
  2.25,E06000002,    0.222,    0.401,    0.613,    0.844,    1.251,    0.665,    0.567,    0.485,    0.613,    0.661,    0.731,    0.500,    0.759,    0.401,    0.570,    0.814,    0.413,    1.251,    0.844,    0.222
  2.50,E06000002,    0.464,    0.549,    0.801,    1.066,    1.506,    0.870,    0.646,    0.582,    0.801,    0.813,    0.874,    0.549,    1.038,    0.622,    0.673,    1.066,    0.591,    1.506,    1.053,    0.464
  2.75,E06000002,    0.674,    0.721,    0.947,    1.347,    1.658,    1.049,    0.749,    0.752,    0.947,    1.104,    0.953,    0.721,    1.347,    0.788,    0.892,    1.215,    0.740,    1.658,    1.187,    0.674
  3.00,E06000002,    0.858,    0.885,    1.253,    1.830,    2.079,    1.374,    1.010,    0.885,    1.114,    1.599,    1.280,    1.019,    1.654,    0.858,    1.253,    1.664,    1.006,    2.079,    1.830,    0.888
  3.25,E06000002,    1.098,    1.201,    1.587,    2.263,    2.422,    1.778,    1.443,    1.353,    1.587,    1.890,    1.639,    1.201,    2.096,    1.422,    1.486,    2.089,    1.265,    2.422,    2.263,    1.098
  3.50,E06000002,    1.310,    1.426,    1.954,    2.853,    2.856,    2.121,    1.656,    1.642,    1.954,    2.327,    1.964,    1.426,    2.434,    1.896,    1.939,    2.677,    1.577,    2.856,    2.853,    1.310
  3.75,E06000002,    1.550,    1.720,    2.279,    3.283,    3.365,    2.491,    2.020,    1.945,    2.279,    2.697,    2.397,    1.720,    2.771,    2.254,    2.054,    3.283,    1.726,    3.214,    3.365,    1.550
  4.00,E06000002,    1.924,    2.048,    2.683,    3.817,    3.818,    2.683,    2.284,    2.474,    2.814,    3.080,    2.561,    1.924,    3.129,    2.875,    2.588,    3.818,    2.342,    3.575,    3.817,    2.048
  0.61,E06000003,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012
  1.00,E06000003,    0.039,    0.039,    0.051,    0.064,    0.094,    0.051,    0.051,    0.051,    0.064,    0.064,    0.064,    0.039,    0.051,    0.039,    0.039,    0.064,    0.094,    0.064,    0.039,    0.039
  1.25,E06000003,    0.096,    0.142,    0.197,    0.277,    0.283,    0.196,    0.198,    0.169,    0.197,    0.237,    0.283,    0.222,    0.182,    0.142,    0.194,    0.247,    0.191,    0.277,    0.233,    0.096
  1.50,E06000003,    0.108,    0.211,    0.337,    0.416,    0.542,    0.317,    0.224,    0.253,    0.237,    0.390,    0.396,    0.337,    0.382,    0.211,    0.355,    0.416,    0.304,    0.542,    0.382,    0.108
  1.75,E06000003,    0.167,    0.304,    0.438,    0.662,    0.852,    0.458,    0.438,    0.386,    0.468,    0.427,    0.587,    0.400,    0.510,    0.318,    0.367,    0.662,    0.304,    0.852,    0.521,    0.167
  2.00,E06000003,    0.167,    0.331,    0.492,    0.719,    1.009,    0.492,    0.492,    0.419,    0.493,    0.492,    0.620,    0.400,    0.570,    0.350,    0.425,    0.719,    0.331,    1.009,    0.611,    0.167
  2.25,E06000003,    0.204,    0.382,    0.563,    0.799,    1.213,    0.626,    0.520,    0.446,    0.563,    0.618,    0.664,    0.465,    0.709,    0.383,    0.533,    0.760,    0.382,    1.213,    0.799,    0.204
  2.50,E06000003,    0.441,    0.527,    0.739,    1.006,    1.457,    0.824,    0.595,    0.536,    0.739,    0.781,    0.797,    0.527,    0.989,    0.590,    0.645,    1.004,    0.567,    1.457,    1.006,    0.441
  2.75,E06000003,    0.640,    0.708,    0.886,    1.315,    1.623,    0.999,    0.713,    0.716,    0.886,    1.083,    0.903,    0.708,    1.315,    0.755,    0.882,    1.163,    0.717,    1.623,    1.146,    0.640
  3.00,E06000003,    0.838,    0.856,    1.249,    1.774,    2.059,    1.355,    0.983,    0.866,    1.063,    1.580,    1.249,    1.013,    1.628,    0.838,    1.249,    1.609,    0.992,    2.059,    1.774,    0.856
  3.25,E06000003,    1.065,    1.196,    1.542,    2.216,    2.400,    1.764,    1.419,    1.354,    1.542,    1.875,    1.606,    1.196,    2.053,    1.390,    1.476,    2.043,    1.251,    2.400,    2.216,    1.065
  3.50,E06000003,    1.267,    1.413,    1.919,    2.833,    2.834,    2.111,    1.644,    1.636,    1.911,    2.305,    1.939,    1.413,    2.369,    1.857,    1.919,    2.644,    1.546,    2.834,    2.833,    1.267
  3.75,E06000003,    1.504,    1.689,    2.243,    3.254,    3.339,    2.477,    2.005,    1.941,    2.243,    2.654,    2.357,    1.689,    2.698,    2.206,    2.042,    3.254,    1.702,    3.184,    3.339,    1.504
  4.00,E06000003,    1.889,    1.977,    2.662,    3.760,    3.774,    2.662,    2.272,    2.447,    2.767,    3.011,    2.519,    1.889,    3.047,    2.835,    2.557,    3.774,    2.296,    3.541,    3.760,    1.977
  0.61,E06000005,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  1.00,E06000005,    0.000,    0.000,    0.010,    0.021,    0.021,    0.000,    0.021,    0.000,    0.017,    0.021,    0.017,    0.017,    0.010,    0.000,    0.000,    0.010,    0.010,    0.017,    0.000,    0.000
  1.25,E06000005,    0.000,    0.017,    0.055,    0.086,    0.112,    0.017,    0.068,    0.028,    0.061,    0.074,    0.112,    0.086,    0.055,    0.035,    0.035,    0.076,    0.017,    0.082,    0.040,    0.000
  1.50,E06000005,    0.000,    0.017,    0.073,    0.137,    0.144,    0.057,    0.074,    0.035,    0.061,    0.137,    0.129,    0.099,    0.127,    0.035,    0.073,    0.096,    0.017,    0.144,    0.063,    0.000
  1.75,E06000005,    0.017,    0.017,    0.134,    0.241,    0.327,    0.147,    0.125,    0.102,    0.134,    0.176,    0.234,    0.121,    0.200,    0.086,    0.090,    0.241,    0.017,    0.327,    0.147,    0.017
  2.00,E06000005,    0.017,    0.050,    0.156,    0.251,    0.362,    0.168,    0.142,    0.102,    0.156,    0.182,    0.234,    0.121,    0.207,    0.086,    0.090,    0.251,    0.050,    0.362,    0.158,    0.017
  2.25,E06000005,    0.051,    0.093,    0.178,    0.303,    0.534,    0.268,    0.176,    0.135,    0.166,    0.249,    0.268,    0.178,    0.303,    0.093,    0.178,    0.291,    0.105,    0.534,    0.275,    0.051
  2.50,E06000005,    0.190,    0.199,    0.305,    0.521,    0.700,    0.386,    0.199,    0.190,    0.277,    0.425,    0.305,    0.257,    0.521,    0.221,    0.268,    0.387,    0.361,    0.700,    0.439,    0.248
  2.75,E06000005,    0.321,    0.324,    0.459,    0.782,    0.953,    0.624,    0.386,    0.394,    0.372,    0.592,    0.450,    0.428,    0.782,    0.321,    0.504,    0.648,    0.459,    0.953,    0.639,    0.324
  3.00,E06000005,    0.465,    0.498,    0.717,    1.059,    1.291,    0.858,    0.498,    0.537,    0.531,    0.922,    0.717,    0.633,    1.000,    0.465,    0.733,    0.940,    0.704,    1.291,    1.059,    0.501
  3.25,E06000005,    0.581,    0.751,    0.912,    1.465,    1.642,    1.148,    0.774,    0.797,    0.756,    0.992,    0.993,    0.751,    1.228,    0.772,    0.912,    1.322,    0.832,    1.642,    1.465,    0.581
  3.50,E06000005,    0.725,    0.852,    1.190,    1.842,    1.937,    1.305,    0.853,    0.981,    1.066,    1.310,    1.225,    0.852,    1.509,    1.142,    1.190,    1.682,    1.054,    1.937,    1.842,    0.725
  3.75,E06000005,    0.938,    1.080,    1.364,    2.290,    2.375,    1.591,    1.143,    1.117,    1.158,    1.538,    1.617,    1.080,    1.786,    1.364,    1.323,    2.283,    1.176,    2.290,    2.375,    0.938
  4.00,E06000005,    1.218,    1.241,    1.728,    2.718,    2.743,    1.737,    1.343,    1.479,    1.605,    1.885,    1.728,    1.241,    2.010,    1.862,    1.649,    2.743,    1.523,    2.549,    2.718,    1.218
  0.61,E06000047,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  1.00,E06000047,    0.014,    0.020,    0.029,    0.033,    0.045,    0.026,    0.030,    0.026,    0.029,    0.030,    0.033,    0.029,    0.029,    0.020,    0.026,    0.029,    0.045,    0.029,    0.026,    0.014
  1.25,E06000047,    0.035,    0.057,    0.078,    0.108,    0.127,    0.062,    0.101,    0.063,    0.103,    0.108,    0.127,    0.102,    0.078,    0.057,    0.066,    0.108,    0.058,    0.097,    0.074,    0.035
  1.50,E06000047,    0.037,    0.071,    0.112,    0.183,    0.203,    0.112,    0.101,    0.081,    0.103,    0.203,    0.167,    0.117,    0.143,    0.071,    0.120,    0.153,    0.084,    0.183,    0.112,    0.037
  1.75,E06000047,    0.052,    0.084,    0.173,    0.263,    0.360,    0.189,    0.168,    0.140,    0.173,    0.212,    0.263,    0.148,    0.212,    0.109,    0.125,    0.259,    0.084,    0.360,    0.193,    0.052
  2.00,E06000047,    0.052,    0.102,    0.181,    0.290,    0.404,    0.227,    0.181,    0.160,    0.179,    0.232,    0.284,    0.148,    0.228,    0.125,    0.146,    0.290,    0.102,    0.404,    0.208,    0.052
  2.25,E06000047,    0.072,    0.126,    0.206,    0.323,    0.577,    0.299,    0.199,    0.179,    0.205,    0.301,    0.298,    0.176,    0.316,    0.135,    0.206,    0.323,    0.126,    0.577,    0.311,    0.072
  2.50,E06000047,    0.217,    0.220,    0.321,    0.506,    0.693,    0.385,    0.224,    0.221,    0.292,    0.438,    0.326,    0.220,    0.506,    0.260,    0.276,    0.406,    0.321,    0.693,    0.406,    0.217
  2.75,E06000047,    0.293,    0.338,    0.465,    0.694,    0.974,    0.599,    0.338,    0.418,    0.348,    0.596,    0.465,    0.427,    0.694,    0.342,    0.511,    0.653,    0.375,    0.974,    0.624,    0.293
  3.00,E06000047,    0.420,    0.456,    0.659,    1.059,    1.309,    0.816,    0.456,    0.564,    0.556,    0.847,    0.659,    0.597,    0.903,    0.479,    0.669,    0.910,    0.574,    1.309,    1.059,    0.420
  3.25,E06000047,    0.507,    0.661,    0.804,    1.361,    1.620,    1.049,    0.661,    0.768,    0.733,    0.932,    0.893,    0.683,    1.158,    0.783,    0.804,    1.271,    0.693,    1.620,    1.361,    0.507
  3.50,E06000047,    0.647,    0.739,    1.097,    1.770,    1.914,    1.201,    0.739,    0.898,    0.986,    1.281,    1.092,    0.792,    1.470,    1.103,    1.097,    1.662,    0.906,    1.914,    1.770,    0.647
  3.75,E06000047,    0.867,    1.003,    1.312,    2.307,    2.323,    1.497,    1.063,    1.053,    1.126,    1.570,    1.508,    1.003,    1.776,    1.312,    1.224,    2.307,    1.029,    2.323,    2.302,    0.867
  4.00,E06000047,    1.186,    1.214,    1.655,    2.697,    2.792,    1.687,    1.274,    1.476,    1.622,    1.909,    1.655,    1.186,    2.045,    1.827,    1.583,    2.792,    1.449,    2.665,    2.697,    1.214
  0.61,E06000057,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001,    0.001
  1.00,E06000057,    0.001,    0.007,    0.026,    0.036,    0.041,    0.026,    0.026,    0.026,    0.027,    0.027,    0.036,    0.026,    0.026,    0.007,    0.015,    0.027,    0.041,    0.028,    0.026,    0.001
  1.25,E06000057,    0.001,    0.040,    0.079,    0.087,    0.100,    0.059,    0.084,    0.071,    0.084,    0.086,    0.100,    0.084,    0.079,    0.040,    0.060,    0.087,    0.046,    0.084,    0.060,    0.001
  1.50,E06000057,    0.006,    0.047,    0.084,    0.135,    0.169,    0.084,    0.084,    0.079,    0.084,    0.169,    0.129,    0.103,    0.109,    0.047,    0.105,    0.111,    0.068,    0.135,    0.076,    0.006
  1.75,E06000057,    0.029,    0.068,    0.145,    0.192,    0.272,    0.145,    0.146,    0.140,    0.159,    0.176,    0.192,    0.139,    0.163,    0.086,    0.111,    0.179,    0.068,    0.272,    0.136,    0.029
  2.00,E06000057,    0.029,    0.079,    0.147,    0.192,    0.284,    0.151,    0.147,    0.141,    0.166,    0.177,    0.192,    0.139,    0.164,    0.087,    0.112,    0.184,    0.079,    0.284,    0.144,    0.029
  2.25,E06000057,    0.059,    0.087,    0.180,    0.206,    0.414,    0.186,    0.157,    0.151,    0.180,    0.206,    0.196,    0.151,    0.206,    0.087,    0.142,    0.196,    0.098,    0.414,    0.191,    0.059
  2.50,E06000057,    0.163,    0.168,    0.213,    0.351,    0.521,    0.290,    0.163,    0.168,    0.209,    0.338,    0.201,    0.207,    0.351,    0.182,    0.235,    0.236,    0.213,    0.521,    0.313,    0.171
  2.75,E06000057,    0.232,    0.265,    0.319,    0.505,    0.750,    0.422,    0.268,    0.304,    0.286,    0.455,    0.317,    0.319,    0.505,    0.304,    0.361,    0.475,    0.265,    0.750,    0.493,    0.232
  3.00,E06000057,    0.338,    0.366,    0.444,    0.847,    1.049,    0.551,    0.366,    0.409,    0.423,    0.651,    0.425,    0.427,    0.671,    0.444,    0.469,    0.650,    0.386,    1.049,    0.847,    0.338
  3.25,E06000057,    0.370,    0.443,    0.588,    1.132,    1.319,    0.704,    0.520,    0.584,    0.551,    0.721,    0.588,    0.487,    0.851,    0.643,    0.585,    0.940,    0.443,    1.319,    1.132,    0.370
  3.50,E06000057,    0.472,    0.541,    0.770,    1.489,    1.561,    0.819,    0.577,    0.686,    0.761,    0.908,    0.739,    0.541,    1.094,    0.906,    0.770,    1.328,    0.579,    1.561,    1.489,    0.472
  3.75,E06000057,    0.628,    0.659,    1.026,    1.904,    1.972,    1.026,    0.749,    0.804,    0.874,    1.130,    1.062,    0.664,    1.339,    1.075,    0.856,    1.903,    0.659,    1.904,    1.972,    0.628
  4.00,E06000057,    0.799,    0.921,    1.213,    2.266,    2.308,    1.177,    0.921,    1.105,    1.230,    1.422,    1.193,    0.799,    1.547,    1.519,    1.213,    2.308,    0.992,    2.162,    2.266,    0.956
  0.61,E08000037,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012,    0.012
  1.00,E08000037,    0.025,    0.030,    0.033,    0.036,    0.058,    0.033,    0.033,    0.033,    0.033,    0.033,    0.036,    0.033,    0.033,    0.030,    0.033,    0.033,    0.058,    0.033,    0.033,    0.025
  1.25,E08000037,    0.053,    0.070,    0.103,    0.121,    0.142,    0.070,    0.105,    0.082,    0.121,    0.121,    0.142,    0.117,    0.098,    0.084,    0.087,    0.121,    0.075,    0.117,    0.103,    0.053
  1.50,E08000037,    0.056,    0.100,    0.134,    0.210,    0.232,    0.117,    0.105,    0.104,    0.121,    0.232,    0.183,    0.134,    0.155,    0.100,    0.152,    0.174,    0.109,    0.210,    0.142,    0.056
  1.75,E08000037,    0.073,    0.109,    0.201,    0.279,    0.375,    0.205,    0.185,    0.165,    0.201,    0.235,    0.277,    0.171,    0.227,    0.137,    0.155,    0.279,    0.109,    0.375,    0.225,    0.073
  2.00,E08000037,    0.073,    0.117,    0.204,    0.314,    0.422,    0.252,    0.199,    0.192,    0.204,    0.262,    0.304,    0.171,    0.245,    0.156,    0.183,    0.314,    0.117,    0.422,    0.242,    0.073
  2.25,E08000037,    0.085,    0.133,    0.244,    0.356,    0.613,    0.316,    0.206,    0.200,    0.244,    0.337,    0.309,    0.204,    0.325,    0.170,    0.244,    0.336,    0.133,    0.613,    0.356,    0.085
  2.50,E08000037,    0.234,    0.236,    0.323,    0.519,    0.765,    0.411,    0.234,    0.253,    0.323,    0.456,    0.336,    0.249,    0.519,    0.300,    0.317,    0.444,    0.323,    0.765,    0.458,    0.236
  2.75,E08000037,    0.309,    0.340,    0.470,    0.707,    1.059,    0.609,    0.340,    0.452,    0.392,    0.597,    0.470,    0.444,    0.707,    0.399,    0.528,    0.696,    0.361,    1.059,    0.681,    0.309
  3.00,E08000037,    0.402,    0.447,    0.680,    1.184,    1.448,    0.827,    0.447,    0.589,    0.578,    0.876,    0.680,    0.609,    0.924,    0.533,    0.688,    1.008,    0.539,    1.448,    1.184,    0.402
  3.25,E08000037,    0.484,    0.648,    0.866,    1.496,    1.795,    1.060,    0.648,    0.803,    0.754,    0.973,    0.933,    0.680,    1.231,    0.866,    0.840,    1.388,    0.673,    1.795,    1.496,    0.484
  3.50,E08000037,    0.624,    0.719,    1.175,    1.992,    2.127,    1.257,    0.719,    0.943,    1.046,    1.324,    1.175,    0.799,    1.587,    1.196,    1.140,    1.861,    0.891,    2.127,    1.992,    0.624
  3.75,E08000037,    0.863,    1.008,    1.421,    2.518,    2.549,    1.575,    1.049,    1.130,    1.234,    1.668,    1.601,    1.008,    1.937,    1.421,    1.262,    2.518,    1.024,    2.549,    2.504,    0.863
  4.00,E08000037,    1.223,    1.301,    1.764,    2.943,    3.029,    1.780,    1.301,    1.583,    1.697,    1.990,    1.764,    1.223,    2.291,    1.974,    1.717,    3.029,    1.520,    2.943,    2.931,    1.332
  0.61,E08000021,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  1.00,E08000021,    0.017,    0.017,    0.032,    0.036,    0.058,    0.032,    0.032,    0.032,    0.032,    0.032,    0.036,    0.032,    0.032,    0.017,    0.021,    0.032,    0.058,    0.032,    0.032,    0.017
  1.25,E08000021,    0.053,    0.075,    0.100,    0.120,    0.146,    0.090,    0.118,    0.100,    0.118,    0.118,    0.146,    0.119,    0.100,    0.075,    0.090,    0.119,    0.079,    0.120,    0.090,    0.053
  1.50,E08000021,    0.057,    0.096,    0.138,    0.229,    0.242,    0.138,    0.118,    0.122,    0.118,    0.242,    0.203,    0.151,    0.173,    0.096,    0.170,    0.190,    0.133,    0.229,    0.134,    0.057
  1.75,E08000021,    0.089,    0.133,    0.220,    0.315,    0.418,    0.228,    0.209,    0.197,    0.220,    0.246,    0.315,    0.210,    0.261,    0.156,    0.174,    0.301,    0.133,    0.418,    0.224,    0.089
  2.00,E08000021,    0.089,    0.137,    0.232,    0.349,    0.457,    0.266,    0.227,    0.232,    0.224,    0.281,    0.349,    0.210,    0.278,    0.173,    0.209,    0.340,    0.137,    0.457,    0.245,    0.089
  2.25,E08000021,    0.104,    0.170,    0.279,    0.377,    0.662,    0.340,    0.231,    0.236,    0.270,    0.368,    0.351,    0.233,    0.377,    0.191,    0.279,    0.363,    0.170,    0.662,    0.340,    0.104
  2.50,E08000021,    0.249,    0.267,    0.357,    0.578,    0.799,    0.431,    0.267,    0.300,    0.357,    0.486,    0.387,    0.279,    0.578,    0.340,    0.337,    0.481,    0.350,    0.799,    0.432,    0.249
  2.75,E08000021,    0.345,    0.356,    0.518,    0.804,    1.064,    0.628,    0.356,    0.469,    0.405,    0.677,    0.518,    0.518,    0.804,    0.437,    0.576,    0.711,    0.397,    1.064,    0.662,    0.345
  3.00,E08000021,    0.458,    0.515,    0.714,    1.178,    1.475,    0.869,    0.515,    0.645,    0.603,    0.919,    0.714,    0.666,    1.022,    0.569,    0.724,    1.000,    0.582,    1.475,    1.178,    0.458
  3.25,E08000021,    0.548,    0.691,    0.930,    1.497,    1.815,    1.112,    0.696,    0.874,    0.786,    1.036,    0.953,    0.722,    1.381,    0.930,    0.853,    1.435,    0.691,    1.815,    1.497,    0.548
  3.50,E08000021,    0.684,    0.785,    1.188,    2.005,    2.179,    1.322,    0.785,    0.993,    1.060,    1.394,    1.187,    0.828,    1.742,    1.261,    1.188,    1.913,    0.931,    2.179,    2.005,    0.684
  3.75,E08000021,    0.948,    1.045,    1.523,    2.584,    2.642,    1.672,    1.121,    1.190,    1.262,    1.736,    1.666,    1.045,    2.093,    1.523,    1.320,    2.584,    1.073,    2.642,    2.580,    0.948
  4.00,E08000021,    1.274,    1.384,    1.835,    3.042,    3.125,    1.894,    1.384,    1.683,    1.796,    2.050,    1.835,    1.274,    2.454,    2.116,    1.783,    3.125,    1.573,    3.042,    3.028,    1.405
